,cryptdecrypt cryptdecrypt cryptdecrypt,crypthashdata crypthashdata crypthashdata,deletefilew deletefilew deletefilew,deviceiocontrol deviceiocontrol deviceiocontrol,drawtextexw drawtextexw drawtextexw,drawtextexw drawtextexw getsystemmetrics,drawtextexw getsystemmetrics getsystemmetrics,findresourceexw loadresource findresourceexw,findresourceexw loadresource ntqueryvaluekey,findwindowexa findwindowexa findwindowexa,getasynckeystate getasynckeystate getasynckeystate,getasynckeystate getkeystate getasynckeystate,getasynckeystate getkeystate getkeystate,getcursorpos getcursorpos getcursorpos,getfileattributesw setfileattributesw findfirstfileexw,getforegroundwindow getforegroundwindow getforegroundwindow,getkeystate getasynckeystate getkeystate,getkeystate getkeystate getasynckeystate,getkeystate getkeystate getkeystate,getkeystate getkeystate getsystemmetrics,getkeystate getsystemmetrics getsystemmetrics,getsystemmetrics drawtextexw drawtextexw,getsystemmetrics drawtextexw getsystemmetrics,getsystemmetrics getkeystate getkeystate,getsystemmetrics getsystemmetrics drawtextexw,getsystemmetrics getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,getsystemtimeasfiletime ntdeviceiocontrolfile ldrgetprocedureaddress,isdebuggerpresent isdebuggerpresent isdebuggerpresent,ldrgetdllhandle ldrgetdllhandle ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress process32nextw,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrgetprocedureaddress process32nextw ldrgetdllhandle,ldrgetprocedureaddress recv getsystemtimeasfiletime,ldrgetprocedureaddress recv ntdeviceiocontrolfile,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,loadresource findresourceexw loadresource,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,module32nextw module32nextw module32nextw,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntclose ntclose ntclose,ntclose ntdeviceiocontrolfile ntclose,ntclose ntopenkeyex ntopenkeyex,ntclose ntopenkeyex ntqueryvaluekey,ntclose ntquerydirectoryfile ntclose,ntclose ntquerykey ntopenkeyex,ntdelayexecution ntdelayexecution ntdelayexecution,ntdeviceiocontrolfile ldrgetprocedureaddress recv,ntdeviceiocontrolfile ntclose ntdeviceiocontrolfile,ntfreevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntopenkey ntqueryvaluekey ntclose,ntopenkeyex ntopenkeyex ntquerykey,ntopenkeyex ntqueryvaluekey ntclose,ntopenkeyex ntqueryvaluekey ntquerykey,ntopenprocess ntreadvirtualmemory ntreadvirtualmemory,ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory,ntquerykey ntclose ntopenkeyex,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntreadfile ntreadfile setfilepointer,ntreadfile setfilepointer ntreadfile,ntreadvirtualmemory ntreadvirtualmemory ntclose,ntreadvirtualmemory ntreadvirtualmemory ntreadvirtualmemory,ntwritefile ntwritefile ntwritefile,process32nextw ldrgetdllhandle ldrgetprocedureaddress,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,recv getsystemtimeasfiletime ntdeviceiocontrolfile,recv ntdeviceiocontrolfile ldrgetprocedureaddress,recv select recv,regclosekey regclosekey regclosekey,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regqueryvalueexw,regenumkeyw regenumkeyw regenumkeyw,regopenkeyexa regopenkeyexa regopenkeyexa,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,select recv select,sendto sendto sendto,setfilepointer ntreadfile ntreadfile,setfilepointer setfilepointer setfilepointer,thread32next thread32next thread32next,timegettime timegettime timegettime,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent,children,LABEL
benreport1.json,0.0,0.0,0.0,0.0,0.015230914797943883,0.05303800681401047,0.1360416280137381,0.026353064729177367,0.0,0.0,0.0,0.0,0.0,0.021485319056787484,0.0,0.0,0.0,0.0,0.028753311580504273,0.0,0.0,0.03322732605872243,0.06679371341386826,0.0,0.12196942850204638,0.0,0.9396140773566212,0.0,0.0,0.0,0.0,0.0,0.0,0.004490406626989254,0.24865419251268298,0.0,0.0,0.0,0.0,0.0,0.01135116871622793,0.026353064729177367,0.0,0.005188592326626487,0.0,0.09717232934875689,0.00890695615293271,0.011305500965667785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007424461463604438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004627858041352566,0.005292185789208054,0.0,0.0,0.0,0.0050660541327603,0.004929331805351409,0.0054760808271802144,0.005087893393685477,0.02187370530072237,0.0,0.00933845317467254,0.0,0.0,0.004817874252281839,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,15,0,0,0,1,0,5,0,0,1,0,0,0,2,0,0,30,214,0,0,0,0,2,0,0
benreport10.json,0.0,0.0,0.0,0.002436757654522173,0.0,1.4738082809547895e-05,5.259539976417314e-05,1.1716689177283161e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4773016179452335e-05,1.4848390255732755e-05,0.0,5.1645854822563155e-05,0.0,0.00036470812199154717,0.9999902976523937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.682259944763227e-05,1.1716689177283161e-05,0.0,1.1534355526287346e-05,0.0,0.002454729975329056,9.9001802856783e-06,3.3509838335562984e-05,0.0,0.0,0.0,0.0,9.183298638366997e-05,0.0,0.0,0.0,0.0,1.6504742080615967e-05,0.0,5.867467882569689e-05,0.0,0.0,0.0,0.0,1.6627431914976585e-05,0.0019856196493104787,0.0,0.0,0.0,0.0,0.0,0.0,0.0018289315557199002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,0,339,2,0,1,0,0,0,1,10,0,0,0,0,2,0,0
benreport100.json,0.0,0.0,0.0,0.0,0.0,0.01079796879928655,0.0192672104295554,0.012876482559042187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9661321929957647,0.0,0.0,0.0,0.0,0.0,0.005411781499617422,0.0,0.0,0.009459682378518724,0.0,0.1619431440838368,0.0,0.0,0.0,0.006063525992800222,0.0,0.0,0.003656794330478585,0.19328905594250947,0.00755843024400785,0.016524690609382747,0.0,0.0,0.0,0.012325205815830307,0.012876482559042187,0.0,0.004225366782850563,0.0,0.007193906568934439,0.0036267213047144423,0.012275619342501345,0.0,0.0,0.0,0.0,0.026912855207293914,0.0,0.0,0.0,0.0,0.01511540648890461,0.0,0.016120669139651895,0.0,0.0,0.0,0.0,0.006091107417101228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004014236147460581,0.004459485072402333,0.0,0.0035626012597380916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,48,0,0,0,0,2,0,0
benreport1000.json,0.0,0.0,0.0,0.0,0.016439572521443027,0.0055400194232212395,0.012768459751740886,0.02422355577128983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006006783218552132,0.007974294736466495,0.008446663578940106,0.06108465897123155,0.020000316944110894,0.005054124043924694,0.05985855698973443,0.0074267022627109965,0.23091193364665247,0.011403012186470168,0.0,0.0,0.0,0.0,0.0,0.0012507729922264157,0.050633971542951475,0.0025852918043643577,0.005934724951356181,0.0,0.0,0.0,0.0108027920044086,0.02422355577128983,0.0,0.11200671918838902,0.0,0.019069726117138457,0.0015506084866670961,0.009184794303592937,0.0,0.0,0.0,0.01666980715998437,0.0,0.005439894330508643,0.0,0.0,0.0,0.008272138050650048,0.0,0.0,0.0,0.0,0.0,0.0,0.0005208518692561477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019993105771757114,0.08597948856408867,0.06574201778848603,0.045697201111193075,0.3745200557844276,0.0,0.0614308574581645,0.07690581045242333,0.11121564791899392,0.15482058952365846,0.03649287346315615,0.08956380098957425,0.039352640674278204,0.0855132735031727,0.043200724204373216,0.04902603199703593,0.8353868626623956,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,10,0,42,0,0,0,0,1,21,6,0,62,28,0,0,90,2,0,722,3117,6,0,0,0,2,0,0
benreport1002.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12158131548535633,0.0,0.0,0.0,0.0,0.0,0.0,0.13426820134499132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26860857499927887,0.0,0.0,0.0,0.0,0.1472231967425954,0.0,0.0,0.0,0.0,0.1984483723829224,0.0,0.11758130336296367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4947919255437952,0.0,0.0,0.0,0.09763807143470181,0.0,0.08783738084373267,0.09758008106208231,0.09066284181322277,0.23386483915048453,0.43034475477459655,0.1664049612372564,0.522272366658345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,12,8,0,0,0,0,2,0,0
benreport1003.json,0.0,0.0,0.0,0.0,0.05990420902914829,0.004438341205014837,0.004949684029974549,0.003528455161630516,0.0,0.0,0.007967028817726571,0.0,0.0,0.0,0.0,0.3192317090848809,0.0,0.0,0.11429177345889407,0.2270389165866648,0.23346065039607608,0.0033366459843645795,0.000558945006210929,0.17917135192038988,0.003888258881587664,0.182213902542744,0.8216527291319508,0.0,0.0,0.0,0.04236944576799776,0.0026112015588083968,0.0,0.003006139628093779,0.05927112786170238,0.0003883472556364828,0.0016980558240868202,0.0,0.0,0.0,0.0031663055020763817,0.003528455161630516,0.0,0.004341932229852742,0.0,0.019589768048065996,0.0003726771882986647,0.017659974625945624,0.0,0.0,0.006693682371702328,0.007440575738829755,0.0,0.15543985610591632,0.0,0.0,0.0,0.003727775067548997,0.017327075477683626,0.003865257901541543,0.003466894632887141,0.0,0.0,0.020834271489291158,0.0006259143162943319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010446073699795408,0.016091231602902115,0.004259966710045252,0.0013285864796090732,0.0,0.0,0.007336371953417366,0.006359084217600961,0.010312442802385842,0.025662051266363586,0.011921462194138328,0.016840061590615813,0.004446121857386947,0.013675603027050154,0.0036790058105302626,0.0020672002189698236,0.04273609316209063,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,10,1,24,0,0,0,39,39,37,1,0,27,2,0,39,18,1,0,159,231,0,0,0,0,3,0,0
benreport1005.json,0.0,0.0,0.0,0.0,0.19947583125428495,0.028942780297092973,0.14202006730216196,0.04601868031949757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14121584631300754,0.04806944975147146,0.15129596973758747,0.05076991983842087,0.1312173137583684,0.029704851093568366,0.13945607050551176,0.15519758722909713,0.8898454978222134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0822365524003995,0.0,0.004429263490892851,0.0,0.0,0.0,0.01651818646056835,0.04601868031949757,0.0,0.03963972545240688,0.0,0.004820620923544447,0.0,0.07814572171689932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04456672240545626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027613741229684328,0.03535583654366666,0.005775879592367522,0.03446082332722463,0.0,0.0,0.03870356010032041,0.03765903102951822,0.017929746661784363,0.005552915334275724,0.08116790235634432,0.021086195314600965,0.056055816623490594,0.015994062040655253,0.0,0.010516434108981586,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,13,0,0,0,0,0,2,2,0,10,2,0,0,3,0,0,49,39,0,0,0,0,2,1,0
benreport1006.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
benreport1007.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2257082389724588,0.11378808872301535,0.9628664194976571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09484893214199396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,3,0,2,0,0,1,0,0,0,0,2,0,0
benreport1008.json,0.0,0.0,0.01697780546873922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008472496307512766,0.0,0.0,0.018491674898129938,0.49725854470407405,0.0,0.4460787469787475,0.15906207466746963,0.0,0.0050394639505745775,0.0,0.0,0.0,0.01409536913440487,0.0,0.0,0.0,0.0,0.15357263607799954,0.0,0.060834197590136446,0.0,0.0,0.0,0.0,0.010259372386311283,0.0,0.0,0.0,0.0,0.013829041868269113,0.0,0.008193752095857482,0.0,0.0,0.40453081383021594,0.0,0.0,0.05041566168120562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06283593367322454,0.166653293747253,0.0065715975237066,0.0,0.0,0.006803991192238862,0.006290797436042612,0.006121021818930326,0.006799950084310981,0.08213291378301955,0.09235005293986238,0.1679380442207558,0.18553711665398373,0.1819749473989586,0.0,0.4367311766790979,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,0,0,0,3,8,9,0,19,1,0,0,0,1,0,61,158,0,0,0,0,2,0,0
