,cryptdecrypt cryptdecrypt cryptdecrypt,crypthashdata crypthashdata crypthashdata,deletefilew deletefilew deletefilew,deviceiocontrol deviceiocontrol deviceiocontrol,drawtextexw drawtextexw drawtextexw,drawtextexw drawtextexw getsystemmetrics,drawtextexw getsystemmetrics getsystemmetrics,findresourceexw loadresource findresourceexw,findwindowexa findwindowexa findwindowexa,getasynckeystate getasynckeystate getasynckeystate,getasynckeystate getkeystate getasynckeystate,getasynckeystate getkeystate getkeystate,getcursorpos getcursorpos getcursorpos,getforegroundwindow getforegroundwindow getforegroundwindow,getkeystate getasynckeystate getkeystate,getkeystate getkeystate getasynckeystate,getkeystate getkeystate getkeystate,getkeystate getkeystate getsystemmetrics,getkeystate getsystemmetrics getsystemmetrics,getsystemmetrics drawtextexw drawtextexw,getsystemmetrics drawtextexw getsystemmetrics,getsystemmetrics getkeystate getkeystate,getsystemmetrics getsystemmetrics drawtextexw,getsystemmetrics getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,getsystemtimeasfiletime ntdeviceiocontrolfile ldrgetprocedureaddress,isdebuggerpresent isdebuggerpresent isdebuggerpresent,ldrgetdllhandle ldrgetdllhandle ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress process32nextw,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrgetprocedureaddress process32nextw ldrgetdllhandle,ldrgetprocedureaddress recv getsystemtimeasfiletime,ldrgetprocedureaddress recv ntdeviceiocontrolfile,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,loadresource findresourceexw loadresource,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,module32nextw module32nextw module32nextw,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntclose ntclose ntclose,ntclose ntdeviceiocontrolfile ntclose,ntclose ntopenkeyex ntopenkeyex,ntclose ntopenkeyex ntqueryvaluekey,ntclose ntquerydirectoryfile ntclose,ntclose ntquerykey ntopenkeyex,ntdelayexecution ntdelayexecution ntdelayexecution,ntdeviceiocontrolfile ldrgetprocedureaddress recv,ntdeviceiocontrolfile ntclose ntdeviceiocontrolfile,ntfreevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntopenfile ntopenfile ntopenfile,ntopenkey ntqueryvaluekey ntclose,ntopenkeyex ntopenkeyex ntquerykey,ntopenkeyex ntqueryvaluekey ntclose,ntopenkeyex ntqueryvaluekey ntquerykey,ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory,ntquerykey ntclose ntopenkeyex,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntreadfile ntreadfile setfilepointer,ntreadfile setfilepointer ntreadfile,ntreadvirtualmemory ntreadvirtualmemory ntreadvirtualmemory,ntwritefile ntwritefile ntwritefile,process32nextw ldrgetdllhandle ldrgetprocedureaddress,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,recv getsystemtimeasfiletime ntdeviceiocontrolfile,recv ntdeviceiocontrolfile ldrgetprocedureaddress,recv select recv,regclosekey regclosekey regclosekey,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regqueryvalueexw,regenumkeyw regenumkeyw regenumkeyw,regopenkeyexa regopenkeyexa regopenkeyexa,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,regsetvalueexa regsetvalueexa regsetvalueexa,select recv select,sendto sendto sendto,setfilepointer ntreadfile ntreadfile,setfilepointer setfilepointer setfilepointer,thread32next thread32next thread32next,timegettime timegettime timegettime,writeprocessmemory writeprocessmemory writeprocessmemory,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent,children,LABEL
benreport1.json,0.0,0.0,0.0,0.0,0.015019828029773119,0.05246146688227451,0.1353711817568448,0.02631367849606666,0.0,0.0,0.0,0.0,0.021345589356411968,0.0,0.0,0.0,0.028626618522115618,0.0,0.0,0.03312246236910374,0.06653834490660492,0.0,0.12166593620902504,0.0,0.9402506795857809,0.0,0.0,0.0,0.0,0.0,0.0,0.004467806317713782,0.24706544879059023,0.0,0.0,0.0,0.0,0.0,0.011275609710126831,0.026321365884402294,0.0,0.005180676578867218,0.0,0.09713544853218584,0.00888163907233396,0.011230247672299557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007388923390705737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004576563654548149,0.005244337242109563,0.0,0.0,0.0,0.005013376556592485,0.004856284367023522,0.00542145151916999,0.005032064739951025,0.021644664073533427,0.0,0.00922712451833233,0.0,0.0,0.004736184569472875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,15,0,0,0,1,0,5,0,0,1,0,0,0,2,0,0,30,214,0,0,0,0,2,0,0
benreport10.json,0.0,0.0,0.0,0.0025488723088624237,0.0,1.462310190819567e-05,5.249856582113353e-05,1.1735473675288797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4772080811562108e-05,1.4837511128774153e-05,0.0,5.167717480450714e-05,0.0,0.00036608746229844764,0.9999900351123392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6762463287652707e-05,1.1738902125760216e-05,0.0,1.1552488493877707e-05,0.0,0.002461411025165867,9.902667308788833e-06,3.339005502276314e-05,0.0,0.0,0.0,0.0,9.264708410051415e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.6476699742553007e-05,0.0,5.9471565630340004e-05,0.0,0.0,0.0,1.659394061463477e-05,0.001985578713190132,0.0,0.0,0.0,0.0,0.0,0.0018103010638641727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,0,339,2,0,1,0,0,0,1,10,0,0,0,0,2,0,0
benreport100.json,0.0,0.0,0.0,0.0,0.0,0.010889489170846622,0.019547239962603515,0.013108707814262363,0.0,0.0,0.0,0.0,0.0,0.9650103410887287,0.0,0.0,0.0,0.0,0.0,0.005500215174532185,0.0,0.0,0.009620702210558966,0.0,0.1652223945416035,0.0,0.0,0.0,0.006157539088537586,0.0,0.0,0.0037095515169914364,0.19581037445598154,0.007667533002233262,0.016753772992143288,0.0,0.0,0.0,0.012482622605899009,0.013112537447111366,0.0,0.004301436833997073,0.0,0.0073318257294025645,0.0036871448034262694,0.012432404727363906,0.0,0.0,0.0,0.0,0.02759686488836211,0.0,0.0,0.0,0.0,0.0,0.0,0.01533727629611735,0.0,0.016607667459270024,0.0,0.0,0.0,0.006178563814954416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032098922733105,0.004501348598639259,0.0,0.003594246963231482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,48,0,0,0,0,2,0,0
benreport1000.json,0.0,0.0,0.0,0.0,0.0164487644963765,0.00555991706109943,0.012891299617271451,0.02454099232455858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006067753502960952,0.008017406956328256,0.00848528996770555,0.06178217119223072,0.02021515491288146,0.005083174879995689,0.0605826194500652,0.007473555187566139,0.23444680035366283,0.011533947917716746,0.0,0.0,0.0,0.0,0.0,0.0012626731731711065,0.05104603487917182,0.0026099080123238535,0.005987857720849688,0.0,0.0,0.0,0.010887778103815578,0.024548161832925453,0.0,0.11347097824124365,0.0,0.019341198532411015,0.0015688078489941996,0.009257052957362765,0.0,0.0,0.0,0.016773736588225896,0.0,0.005410870914927181,0.0,0.0,0.0,0.0012456091582659363,0.0,0.008352909397231677,0.0,0.0,0.0,0.0,0.0,0.0005257715617463603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02010830646783417,0.08620639553769763,0.0659638961023962,0.04594612831201096,0.375655905687007,0.0,0.06170715781636047,0.07721887031347788,0.11116952347391705,0.15551713122051145,0.03662014578291499,0.08992176035608947,0.03941620651175091,0.08572919752266601,0.04346507482020968,0.04867152698899177,0.8332294087269231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,10,0,42,0,0,0,0,1,21,6,0,62,28,0,0,90,2,0,722,3117,6,0,0,0,2,0,0
benreport1002.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12233353846716752,0.0,0.0,0.0,0.0,0.0,0.0,0.13465221226514418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26930442453028836,0.0,0.0,0.0,0.0,0.14944731088995655,0.0,0.0,0.0,0.0,0.0,0.0,0.19933696452289004,0.0,0.11991561369901434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4938626420140907,0.0,0.0,0.0,0.09756374469562411,0.0,0.08734127498647433,0.0975059226714702,0.09050272121341676,0.23357024596914688,0.42878319965879746,0.16595173572672295,0.5227171562924315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,12,8,0,0,0,0,2,0,0
benreport1003.json,0.0,0.0,0.0,0.0,0.059299520805732156,0.004406855349939996,0.004944094349506969,0.0035366323284009497,0.0,0.008086692960166127,0.0,0.0,0.0,0.3139381586788767,0.0,0.0,0.11422259589554651,0.22583592781692854,0.2320311355775959,0.0033388140096507163,0.0005589337825528823,0.17828253829196158,0.0038933913557935144,0.1814110870128437,0.8253484072100153,0.0,0.0,0.0,0.042362090822989994,0.0026050681420901976,0.0,0.003002428615714538,0.05911725968073436,0.00038787068316063734,0.0016950164737701537,0.0,0.0,0.0,0.0031572367255388897,0.003537665534993971,0.0,0.004351859308303809,0.0,0.01965709354539986,0.00037303663992071417,0.017609396500644275,0.0,0.0,0.006700358313906959,0.007407247704261698,0.0,0.15296433345827687,0.0,0.0,0.0,0.0019745688011946877,0.0,0.0037240952466348507,0.017571212792485504,0.003920547521503013,0.003515760962332234,0.0,0.0211726706985204,0.0006250990421977859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010394399416183083,0.015961915172101222,0.004228833226815643,0.0013216006150271466,0.0,0.0,0.007290904198014867,0.00631698652725286,0.010198410383602164,0.025503041124969972,0.011835663710419912,0.01672734610593713,0.004405887356263842,0.013564156620704398,0.003662106426940942,0.0020304011613664144,0.04217186907188265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,10,1,24,0,0,0,39,39,37,1,0,27,2,0,39,18,1,0,159,231,0,0,0,0,3,0,0
benreport1005.json,0.0,0.0,0.0,0.0,0.19690678918257296,0.028656616937512636,0.14146061741421867,0.04599557273201144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14073335744517104,0.047680240852276366,0.1499465559048202,0.05065999414678979,0.13084555788965405,0.029474346106580434,0.13924732875512758,0.15407913882017038,0.8913334070099326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08179232613546229,0.0,0.004408897858856756,0.0,0.0,0.0,0.01642454153636726,0.04600901007143032,0.0,0.03961858907667405,0.0,0.004823580750293208,0.0,0.07770270982868918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012840099630992011,0.0,0.0443974817611488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027314768537555444,0.034998709541607914,0.005729346599305364,0.03410110369415846,0.0,0.0,0.03833918266438063,0.037137839401403076,0.01776852253622092,0.0054974426079673,0.08039781597644455,0.02083659805831671,0.05544259574078229,0.015875807535892697,0.0,0.010348397406218924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,13,0,0,0,0,0,2,2,0,10,2,0,0,3,0,0,49,39,0,0,0,0,2,1,0
benreport1006.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
benreport1007.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22704599948791915,0.11418049310602205,0.9624914248993885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09499045270837576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,3,0,2,0,0,1,0,0,0,0,2,0,0
benreport1008.json,0.0,0.0,0.017105013840648726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008509951035047356,0.0,0.0,0.0185569691374587,0.4979286758555494,0.0,0.44717886171614835,0.1592369820035918,0.0,0.0050490828215762175,0.0,0.0,0.0,0.014107075029581334,0.0,0.0,0.0,0.0,0.15467140894730994,0.0,0.060884728413138044,0.0,0.0,0.0,0.0,0.010396080371159695,0.0,0.0,0.0,0.0,0.0,0.0,0.013866580079509762,0.0,0.008341751687254158,0.0,0.40766191961686393,0.0,0.0,0.050637505672977944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06256190685899152,0.16604830486790098,0.006561264610677545,0.0,0.0,0.006786877094856963,0.006272306425423337,0.006075766161811672,0.00678285479156661,0.08184393719248527,0.09207181579937367,0.1670349345324386,0.18470697902286942,0.1818102157823893,0.0,0.4325620550816831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,0,0,0,3,8,9,0,19,1,0,0,0,1,0,61,158,0,0,0,0,2,0,0
