,cryptcreatehash cryptcreatehash crypthashdata,cryptdecrypt cryptdecrypt cryptdecrypt,crypthashdata crypthashdata crypthashdata,deletefilew deletefilew deletefilew,deviceiocontrol deviceiocontrol deviceiocontrol,drawtextexw drawtextexw drawtextexw,drawtextexw drawtextexw getsystemmetrics,drawtextexw getsystemmetrics getsystemmetrics,findresourceexw loadresource findresourceexw,findwindowexa findwindowexa findwindowexa,getasynckeystate getasynckeystate getasynckeystate,getasynckeystate getkeystate getasynckeystate,getasynckeystate getkeystate getkeystate,getcursorpos getcursorpos getcursorpos,getforegroundwindow getforegroundwindow getforegroundwindow,getkeyboardstate getkeyboardstate getkeyboardstate,getkeystate getasynckeystate getkeystate,getkeystate getkeystate getasynckeystate,getkeystate getkeystate getkeystate,getkeystate getkeystate getsystemmetrics,getkeystate getsystemmetrics getsystemmetrics,getsystemmetrics drawtextexw drawtextexw,getsystemmetrics drawtextexw getsystemmetrics,getsystemmetrics getkeystate getkeystate,getsystemmetrics getsystemmetrics drawtextexw,getsystemmetrics getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,getsystemtimeasfiletime ntdeviceiocontrolfile ldrgetprocedureaddress,isdebuggerpresent isdebuggerpresent isdebuggerpresent,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress process32nextw,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrgetprocedureaddress ntprotectvirtualmemory ldrgetprocedureaddress,ldrgetprocedureaddress process32nextw ldrgetdllhandle,ldrgetprocedureaddress recv getsystemtimeasfiletime,ldrgetprocedureaddress recv ntdeviceiocontrolfile,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,loadresource findresourceexw loadresource,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,module32nextw module32nextw module32nextw,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntclose ntclose ntclose,ntclose ntdeviceiocontrolfile ntclose,ntclose ntopenkeyex ntopenkeyex,ntclose ntopenkeyex ntqueryvaluekey,ntclose ntquerydirectoryfile ntclose,ntdelayexecution ntdelayexecution ntdelayexecution,ntdeviceiocontrolfile ldrgetprocedureaddress recv,ntdeviceiocontrolfile ntclose ntdeviceiocontrolfile,ntfreevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntfreevirtualmemory,ntopenkey ntqueryvaluekey ntclose,ntopenkeyex ntopenkeyex ntquerykey,ntopenkeyex ntqueryvaluekey ntclose,ntopenkeyex ntqueryvaluekey ntquerykey,ntprotectvirtualmemory ldrgetprocedureaddress ntprotectvirtualmemory,ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory,ntquerykey ntclose ntopenkeyex,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntreadfile ntreadfile setfilepointer,ntreadfile setfilepointer ntreadfile,ntreadvirtualmemory ntreadvirtualmemory ntreadvirtualmemory,ntwritefile ntwritefile ntwritefile,process32nextw ldrgetdllhandle ldrgetprocedureaddress,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,recv getsystemtimeasfiletime ntdeviceiocontrolfile,recv ntdeviceiocontrolfile ldrgetprocedureaddress,recv select recv,regclosekey regclosekey regclosekey,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regqueryvalueexw,regenumkeyw regenumkeyw regenumkeyw,regopenkeyexa regopenkeyexa regopenkeyexa,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,regsetvalueexa regsetvalueexa regsetvalueexa,select recv select,sendto sendto sendto,setfilepointer ntreadfile ntreadfile,setfilepointer setfilepointer setfilepointer,thread32next thread32next thread32next,timegettime timegettime timegettime,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent,children,LABEL
benreport1.json,0.0,0.0,0.0,0.0,0.0,0.015133944737071829,0.053306588904185395,0.13617265094742173,0.026662534724765305,0.0,0.0,0.0,0.0,0.0215234040549683,0.0,0.0,0.0,0.0,0.028868885553908766,0.0,0.0,0.0332603893968394,0.0673383791377729,0.0,0.12153248937561772,0.0,0.939186278225954,0.0,0.0,0.0,0.0,0.0,0.004498929158799327,0.24961030980143492,0.0,0.0,0.0,0.0,0.0,0.01139787766511958,0.02667033476529185,0.0,0.005187290141938288,0.0,0.09846026725666714,0.008916550701907815,0.011358125417061679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007463027193669036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004622421773421885,0.005321605671381901,0.0,0.0,0.0,0.005033286822374175,0.0049271623936480245,0.005475671422478301,0.005088267876305348,0.021897553822933086,0.0,0.009324758875816498,0.0,0.0,0.004813234546885232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,15,0,0,0,1,0,5,0,0,1,0,0,0,2,0,0,30,214,0,0,0,0,2,0,0
benreport10.json,0.0,0.0,0.0,0.0,0.0024759614859628867,0.0,1.4691863477774529e-05,5.221653215132619e-05,1.1757565530272922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4667067926310078e-05,1.484733941442053e-05,0.0,5.104098754306768e-05,0.0,0.0003615678882193972,0.9999901658936462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6754007691199514e-05,1.1761005169023563e-05,0.0,1.1437379153552141e-05,0.0,0.0024669725454837376,9.829985245579927e-06,3.339114985896167e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6455118050398508e-05,0.0,5.866827170524031e-05,0.0,0.0,0.0,0.0,1.6439468426462403e-05,0.0019889944532889225,0.0,0.0,0.0,0.0,0.0,0.0018311420142062545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,0,339,2,0,1,0,0,0,1,10,0,0,0,0,2,0,0
benreport100.json,0.0,0.0,0.0,0.0,0.0,0.0,0.01099565797449995,0.01953990142295529,0.013199363992786815,0.0,0.0,0.0,0.0,0.0,0.9655005997002649,0.0,0.0,0.0,0.0,0.0,0.0,0.005488550266289742,0.0,0.0,0.009550000967428295,0.0,0.16400241635857268,0.0,0.0,0.0,0.0,0.0,0.003712012889857081,0.1965891089059627,0.01680676194071961,0.0,0.0,0.0,0.0,0.012539004228650553,0.013203225425134905,0.0,0.004279971342212097,0.0,0.007385308578086418,0.0036784699169812333,0.012495272086479752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01539413722822806,0.0,0.016465650798869226,0.0,0.0,0.0,0.0,0.006151798659626286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00406534303387913,0.004517911303650323,0.0,0.0036134821944500185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,48,0,0,0,0,2,0,0
benreport1000.json,0.0,0.0,0.0,0.0,0.0,0.01634787997114234,0.005572495806825592,0.01279090721131835,0.02452748189041582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006035717047513185,0.007941834944058845,0.008421631837341225,0.06119400177218805,0.020179421535175344,0.005029095586795728,0.05969148905185619,0.007402481106025717,0.23099010005601958,0.011505939935481144,0.0,0.0,0.0,0.0,0.0012541420932748884,0.05086903408585974,0.005962255961464153,0.0,0.0,0.0,0.0,0.01085585894665067,0.024534657327962707,0.0,0.11206753835722634,0.0,0.019337824629612612,0.001553511564553447,0.009234875565574079,0.0,0.0,0.0,0.01682627659038512,0.005445765286993656,0.0,0.0,0.0,0.001228678840960985,0.002441523159445518,0.008321710537298984,0.0,0.0,0.0,0.0,0.0,0.0,0.0005196122614142116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019916793885977554,0.08583388861145405,0.06571694046050741,0.045987730115808076,0.3745858192883848,0.0,0.06180429543032533,0.0764690634930271,0.11125498640966808,0.15493195878707136,0.03652454295953569,0.08973265690349398,0.03946764442657331,0.08545568538070349,0.043302134211446214,0.04909161921430135,0.8352451657988001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,10,0,42,0,0,0,0,1,21,6,0,62,28,0,0,90,2,0,722,3117,6,0,0,0,2,0,0
benreport1002.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12374952437354578,0.0,0.0,0.0,0.0,0.0,0.13606889421898904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272430465527257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2013801032479075,0.0,0.11966512563843786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49892021016712174,0.0,0.0,0.0,0.09908900360867207,0.0,0.08863538845593089,0.09850259131180454,0.09153353669965858,0.23635082844021785,0.4353695260387892,0.1677443443474469,0.5280675841003548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,12,8,0,0,0,0,2,0,0
benreport1003.json,0.0,0.0,0.0,0.0,0.0,0.05971986014343956,0.004475583593336333,0.004970852041483052,0.0035817081655074895,0.0,0.008058104656684398,0.0,0.0,0.0,0.3159161657964341,0.0,0.0,0.0,0.115131034961226,0.22668323553696448,0.23335401070708295,0.003351022591823376,0.0005653682801062048,0.17873231809310636,0.003887155070236891,0.18207626155018689,0.8239973497423662,0.0,0.0,0.0,0.002622207483267503,0.0,0.0030218153432246733,0.05969599747227816,0.0017102220752372706,0.0,0.0,0.0,0.0,0.00318985922287858,0.003582755982946214,0.0,0.004355212203666529,0.0,0.019915122371082804,0.0003743136528801309,0.017800910328399804,0.0,0.0,0.00672929704513299,0.007529298469181883,0.15599883857965316,0.0,0.0,0.0,0.001973641633017956,0.0019609240408544736,0.0037595429853496593,0.017519653134305622,0.003909526357127272,0.0035150652806466252,0.0,0.0,0.021044576739031418,0.0006259945792780982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010432365032850275,0.016104370013292246,0.00426904797764721,0.0013403947723527507,0.0,0.0,0.007399526813901184,0.006338868154722177,0.010342026953905998,0.025745076515768937,0.011961806662690542,0.016914229153970468,0.00447032617269814,0.013700753080451489,0.0036969133548493804,0.002075169992257904,0.04283627231166064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,10,1,24,0,0,0,39,39,37,1,0,27,2,0,39,18,1,0,159,231,0,0,0,0,3,0,0
benreport1005.json,0.0,0.0,0.0,0.0,0.0,0.19780843495665892,0.029031021288040103,0.14187182455127234,0.0464657374091777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14149918865105696,0.047739880488214564,0.15042569174967563,0.05071854453524294,0.13202208301777713,0.029475078916820784,0.13867788095632586,0.15425876951589299,0.887657035700507,0.0,0.0,0.0,0.0,0.0,0.0,0.08238724803891169,0.004437364865436734,0.0,0.0,0.0,0.0,0.016552902042650777,0.04647933081425447,0.0,0.03955031959218798,0.0,0.00487472079993745,0.0,0.07835206070535233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012802091854214364,0.06995779324168865,0.04470840028692561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02748987625014386,0.035243499674458514,0.005796343405507716,0.03437047272843032,0.0,0.0,0.03837612645080672,0.03756698430571567,0.017892459851596234,0.005542189664462774,0.08109347975461431,0.0210886682580745,0.055861387287014425,0.015986767321914973,0.0,0.01048524150334324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,13,0,0,0,0,0,2,2,0,10,2,0,0,3,0,0,49,39,0,0,0,0,2,1,0
benreport1006.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
benreport1007.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22754994200643963,0.11333793401201306,0.9624846438609707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09486225244308212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,3,0,2,0,0,1,0,0,0,0,2,0,0
benreport1008.json,0.0,0.0,0.0,0.01686771318190798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008508003720933929,0.0,0.0,0.4957151086323618,0.0,0.44513685234563866,0.1590347057173987,0.00503857969409048,0.0,0.0,0.0,0.0,0.014096730600182515,0.0,0.0,0.0,0.0,0.15498539324334376,0.0,0.06087278423848031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014442966496810719,0.013845246488248492,0.0,0.00822719391732466,0.0,0.0,0.41081471297558003,0.0,0.0,0.050713002235242326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06242891286488905,0.16579139159678066,0.006581685092080431,0.0,0.0,0.006812548296035619,0.006225096500692529,0.006093843338849165,0.006772231389534304,0.08181025157108737,0.09208076703300852,0.16762167912252723,0.18452363521859835,0.18152800962970192,0.0,0.43456454862047506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,0,0,0,3,8,9,0,19,1,0,0,0,1,0,61,158,0,0,0,0,2,0,0
