,cryptcreatehash cryptcreatehash crypthashdata,cryptcreatehash crypthashdata crypthashdata,cryptdecrypt cryptdecrypt cryptdecrypt,crypthashdata cryptcreatehash cryptcreatehash,crypthashdata crypthashdata cryptcreatehash,crypthashdata crypthashdata crypthashdata,deletefilew deletefilew deletefilew,deviceiocontrol deviceiocontrol deviceiocontrol,drawtextexw drawtextexw drawtextexw,drawtextexw drawtextexw getsystemmetrics,drawtextexw getsystemmetrics getsystemmetrics,findresourceexw loadresource findresourceexw,findwindowexa findwindowexa findwindowexa,getasynckeystate getasynckeystate getasynckeystate,getasynckeystate getkeystate getasynckeystate,getasynckeystate getkeystate getkeystate,getcursorpos getcursorpos getcursorpos,getforegroundwindow getforegroundwindow getforegroundwindow,getkeystate getasynckeystate getkeystate,getkeystate getkeystate getasynckeystate,getkeystate getkeystate getkeystate,getkeystate getkeystate getsystemmetrics,getkeystate getsystemmetrics getsystemmetrics,getsystemmetrics drawtextexw drawtextexw,getsystemmetrics drawtextexw getsystemmetrics,getsystemmetrics getkeystate getkeystate,getsystemmetrics getsystemmetrics drawtextexw,getsystemmetrics getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,getsystemtimeasfiletime ntdeviceiocontrolfile ldrgetprocedureaddress,isdebuggerpresent isdebuggerpresent isdebuggerpresent,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress process32nextw,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrgetprocedureaddress process32nextw ldrgetdllhandle,ldrgetprocedureaddress recv getsystemtimeasfiletime,ldrgetprocedureaddress recv ntdeviceiocontrolfile,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,loadresource findresourceexw loadresource,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,module32nextw module32nextw module32nextw,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntclose ntclose ntclose,ntclose ntdeviceiocontrolfile ntclose,ntclose ntopenkeyex ntopenkeyex,ntclose ntopenkeyex ntqueryvaluekey,ntclose ntquerydirectoryfile ntclose,ntclose ntquerykey ntopenkeyex,ntdelayexecution ntdelayexecution ntdelayexecution,ntdeviceiocontrolfile ldrgetprocedureaddress recv,ntdeviceiocontrolfile ntclose ntdeviceiocontrolfile,ntfreevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntopenfile ntopenfile ntopenfile,ntopenkey ntqueryvaluekey ntclose,ntopenkeyex ntopenkeyex ntquerykey,ntopenkeyex ntqueryvaluekey ntclose,ntopenkeyex ntqueryvaluekey ntquerykey,ntprotectvirtualmemory ldrgetprocedureaddress ntprotectvirtualmemory,ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory,ntquerykey ntclose ntopenkeyex,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntreadfile ntreadfile setfilepointer,ntreadfile setfilepointer ntreadfile,ntreadvirtualmemory ntreadvirtualmemory ntreadvirtualmemory,ntwritefile ntwritefile ntwritefile,process32nextw ldrgetdllhandle ldrgetprocedureaddress,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,recv getsystemtimeasfiletime ntdeviceiocontrolfile,recv ntdeviceiocontrolfile ldrgetprocedureaddress,recv select recv,regclosekey regclosekey regclosekey,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regqueryvalueexw,regenumkeyw regenumkeyw regenumkeyw,regopenkeyexa regopenkeyexa regopenkeyexa,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,select recv select,sendto sendto sendto,setfilepointer ntreadfile ntreadfile,setfilepointer setfilepointer setfilepointer,thread32next thread32next thread32next,timegettime timegettime timegettime,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent,children,LABEL
benreport1.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015203464213303776,0.05326244763728451,0.13639411749409136,0.02649178449142682,0.0,0.0,0.0,0.0,0.021512285213519,0.0,0.0,0.0,0.02913191867887845,0.0,0.0,0.033515585269978346,0.06723693780840773,0.0,0.1225871845534804,0.0,0.9391574552478792,0.0,0.0,0.0,0.0,0.0,0.00451478191105992,0.2493863097099425,0.0,0.0,0.0,0.0,0.01137847148257334,0.02649178449142682,0.0,0.005293722274609905,0.0,0.09767214489935795,0.008945417447717036,0.011323563594216678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007444322951497682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004647893080229885,0.0053278482786795495,0.0,0.0,0.0,0.005082335764587701,0.004952190873268013,0.005508395153155224,0.005104245214025761,0.02195602905118597,0.0,0.009368465735226171,0.0,0.0,0.004857909100787315,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,15,0,0,0,1,0,5,0,0,1,0,0,0,2,0,0,30,214,0,0,0,0,2,0,0
benreport10.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002451581763706794,0.0,1.4594703296401176e-05,5.1998633725568474e-05,1.161462911588533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.469403062064779e-05,1.4739137255650446e-05,0.0,5.118584821609519e-05,0.0,0.00035946340451134377,0.9999903551585958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6628642767664483e-05,1.161462911588533e-05,0.0,1.1604469469014509e-05,0.0,0.0024330564767896866,9.804710020159828e-06,3.309679936422803e-05,0.0,0.0,0.0,0.0,9.096380869393035e-05,0.0,0.0,0.0,0.0,0.0,1.63188421920953e-05,0.0,5.853713994156626e-05,0.0,0.0,0.0,0.0,1.6095293349693977e-05,0.0019882212766296706,0.0,0.0,0.0,0.0,0.0,0.0018047897792745709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,0,339,2,0,1,0,0,0,1,10,0,0,0,0,2,0,0
benreport100.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010959380695365607,0.019523275364491437,0.013082397723136909,0.0,0.0,0.0,0.0,0.0,0.9653252655630001,0.0,0.0,0.0,0.0,0.0,0.005516983533359935,0.0,0.0,0.009609054487488502,0.0,0.1635917815041694,0.0,0.0,0.0,0.0,0.0,0.0037158798301428213,0.19592691805425416,0.016777381023016947,0.0,0.0,0.0,0.012486696223760196,0.013082397723136909,0.0,0.004356984725754487,0.0,0.0073080737966186035,0.003681251599855877,0.012426440492289777,0.0,0.0,0.0,0.0,0.027322433042486365,0.0,0.0,0.0,0.0,0.0,0.0153175779303841,0.0,0.01648365476524558,0.0,0.0,0.0,0.0,0.006043098089783664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004075888169905833,0.004533670695349413,0.0,0.003614170832990607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,48,0,0,0,0,2,0,0
benreport1000.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01632591874591133,0.005534976172587231,0.0127359948357965,0.024226379774464762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060547152037552085,0.007892948569021195,0.008358344329580441,0.06129910179336665,0.020029945053132645,0.004998334498707275,0.05985368142556277,0.007346732840678494,0.22961794003613847,0.011504554443846057,0.0,0.0,0.0,0.0,0.001251123391715939,0.05052302652632191,0.005931328124048041,0.0,0.0,0.0,0.010773328529203229,0.024226379774464762,0.0,0.11369103581416164,0.0,0.019069667029875198,0.0015493302386996157,0.009152364110620523,0.0,0.0,0.0,0.016783345634970536,0.0,0.0053183765603028515,0.0,0.0,0.0,0.0,0.008251797551762608,0.0,0.0,0.0,0.0,0.0,0.0,0.0005086723551466177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020064495399700826,0.08566687328984189,0.06568854960011977,0.04576957823186237,0.36896893173532,0.0,0.06182603026718819,0.07675792453028761,0.11115928943442396,0.15493676981816615,0.03642269954246365,0.0894405578212442,0.03928802522841677,0.08534883587183555,0.04322749992759364,0.049025797604658604,0.8380156083996048,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,10,0,42,0,0,0,0,1,21,6,0,62,28,0,0,90,2,0,722,3117,6,0,0,0,2,0,0
benreport1002.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12273699324601965,0.0,0.0,0.0,0.0,0.0,0.13405374871509068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26781947500203923,0.0,0.0,0.0,0.0,0.14721592393568653,0.0,0.0,0.0,0.0,0.0,0.19807823562171342,0.0,0.11842071128043688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4946837834353153,0.0,0.0,0.0,0.09832464885507704,0.0,0.08784512592391265,0.09771143282857118,0.09054236297574852,0.23368204329948078,0.42989387806202245,0.16618383121442834,0.5229071330361257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,12,8,0,0,0,0,2,0,0
benreport1003.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060007510676843706,0.0044728704246071145,0.004980041949714229,0.003559560616626883,0.0,0.008050497260239745,0.0,0.0,0.0,0.31671222575600655,0.0,0.0,0.11620582426127624,0.22667752271846994,0.23302896967812445,0.00337748361408485,0.0005646419267331057,0.17873481421766532,0.003921759524577933,0.18181968717884478,0.8241550101792707,0.0,0.0,0.0,0.002625804859629829,0.0,0.003033136534926341,0.059655668872444535,0.001711845164114762,0.0,0.0,0.0,0.003185135170544365,0.003559560616626883,0.0,0.004445558709474609,0.0,0.01976009875559064,0.00037560884743915903,0.01775068400043124,0.0,0.0,0.006686687641886432,0.007556412661844301,0.0,0.15328941550046848,0.0,0.0,0.0,0.0,0.0037509532631019205,0.01755402868038705,0.0039243759719664395,0.003473455587148061,0.0,0.0,0.021064625161490047,0.0006165949397629575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010574558077452523,0.01617217778512578,0.004293525149380808,0.001342265107010466,0.0,0.0,0.007447787714964328,0.0064020610217227795,0.010396869218672597,0.025904684748652044,0.012002031396877466,0.01696316244445906,0.004477430404222234,0.013768027296399274,0.00371330590184131,0.0020851707711588485,0.043243461088631405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,10,1,24,0,0,0,39,39,37,1,0,27,2,0,39,18,1,0,159,231,0,0,0,0,3,0,0
benreport1005.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19912390363333626,0.029066364803998754,0.14239347223527782,0.04626268038332977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14308074675320895,0.047825789057580004,0.15049027103216175,0.0512123186149895,0.1320930677731305,0.02952927629667077,0.1401677339305517,0.15432248320943515,0.8894469488044472,0.0,0.0,0.0,0.0,0.0,0.0,0.08248182550923858,0.004449680970357314,0.0,0.0,0.0,0.01655854823028482,0.04626268038332977,0.0,0.04044443646183783,0.0,0.0048456008804604765,0.0,0.07827355611457427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044687647272728385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027655996600466307,0.03551025282651906,0.005815023100066902,0.03412607747990792,0.0,0.0,0.03882942762117993,0.03783511085978545,0.018036237173686655,0.0055709739233268715,0.08147648958766884,0.021160725262916874,0.05623811527120843,0.016086955910605823,0.0,0.010604226007015593,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,13,0,0,0,0,0,2,2,0,10,2,0,0,3,0,0,49,39,0,0,0,0,2,1,0
benreport1006.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
benreport1007.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22645622785362557,0.11407141940318212,0.962649296464936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09492955365540234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,3,0,2,0,0,1,0,0,0,0,2,0,0
benreport1008.json,0.0,0.0,0.0,0.0,0.0,0.0,0.01733110460280219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008536047962505854,0.0,0.0,0.4950378280623691,0.0,0.4455828062527196,0.15849269540899497,0.005029570962686167,0.0,0.0,0.0,0.014037364799536059,0.0,0.0,0.0,0.0,0.15335845920856164,0.0,0.06053504673865082,0.0,0.0,0.0,0.0,0.01023849578130664,0.0,0.0,0.0,0.0,0.0,0.013775841128895457,0.0,0.008235861450652318,0.0,0.0,0.40852791311543757,0.0,0.0,0.050860375244927904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06252034623267969,0.16628603882992285,0.006572846800991491,0.0,0.0,0.006838231052647222,0.006269963524583341,0.006109406694164738,0.0067955834264084155,0.08186090536579672,0.09209464429060728,0.1674289887938639,0.18492265340030611,0.1818343536649066,0.0,0.43749581734312426,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,0,0,0,3,8,9,0,19,1,0,0,0,1,0,61,158,0,0,0,0,2,0,0
