,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,0.08956648,-0.0299319,0.1378609,0.053230714,-0.09354961,0.0030388718,-0.009617673,-0.0003136235,-0.084831424,0.044847883,-0.14908978,-0.12268795,-0.0465221,-0.06488424,-0.018536184,-0.0022601462,0.052311905,0.0469138,0.07478316,-0.08233579,0.11864718,0.036201768,0.10317171,0.06764189,-0.14867572,-0.0180082,-0.12735532,-0.06563279,0.010468591,-0.03452864,0.08625085,0.032418713,0.16450837,-0.11913721,-0.08407216,0.08815021,0.18245864,0.020800581,0.05293905,-0.085686006,-0.052148893,0.24715619,0.044392545,-0.07440699,-0.12572022,-0.17670994,-0.08043463,0.06607047,0.012115844,-0.0008630344,-0.003972224,-0.037797842,0.042661604,-0.020807678,0.035815887,-0.03807902,0.04946801,0.04617213,0.011863015,0.016904749,0.014920542,0.035924677,-0.016530175,0.023527803,0.06293627,0.032595392,-0.046796285,0.07246542,0.0035313198,-0.0058579603,-0.03083354,0.011623107,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.035718158,-0.0075108632,0.16055073,0.068601966,-0.1041709,-0.002127937,-0.006516902,0.0010547208,-0.08518782,0.054835804,-0.15531988,-0.1204284,-0.04401613,-0.08629089,-0.017647948,-0.0125310235,0.051282927,0.074390344,0.0709054,-0.07508704,0.09292641,0.013295064,0.07602991,0.053322174,-0.12378929,-0.0050399555,-0.12120401,-0.06560715,0.003881893,-0.039859764,0.08729602,0.052071895,0.17662853,-0.10962661,-0.08289911,0.08821819,0.16630684,0.024568181,0.0444534,-0.06952941,-0.04840072,0.25020304,0.039426375,-0.0696305,-0.11711461,-0.18144508,-0.07183172,0.050014146,0.018947149,-0.02137693,-0.0049310373,-0.074399285,0.05260995,-0.044922438,0.051076762,-0.053832065,0.050424315,0.053550895,0.015864272,0.03159662,0.0013139792,0.052229077,-0.019513613,0.028015515,0.04582967,0.010545512,-0.033983883,0.074101985,0.006105706,-0.01358936,-0.043820124,-0.008083554,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,0.06816707,-0.037321918,0.12412612,0.0772053,-0.05933277,-0.00088796695,-0.0065146494,0.0064009205,-0.03182843,0.06112212,-0.10919363,-0.09366709,-0.02232837,-0.07088875,-0.03562356,-0.007003414,0.05921986,0.064430445,0.083825216,-0.0982788,0.1427607,0.021091158,0.121298015,0.086196475,-0.16280542,-0.010327437,-0.15584855,-0.08951123,-0.003420841,-0.039878212,0.12947296,0.048851043,0.20278376,-0.14213158,-0.111375794,0.10590361,0.14700629,0.011292728,0.034982175,-0.05312195,-0.032843728,0.22899467,0.035001006,-0.07437736,-0.07445442,-0.1818165,-0.056457028,0.04641364,-0.0009584539,-0.027025977,-0.03441347,-0.09774115,0.06646975,-0.048326537,0.06291757,-0.08611842,0.04058927,0.04209596,0.026125077,0.045676433,-0.0079577295,0.054510616,-0.0139769325,0.033308595,0.0595544,-0.017827172,-0.064772494,0.03427821,0.021368237,-0.030328792,-0.083070174,0.057246827,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,0.102476195,-0.036893852,0.08775327,0.04931139,-0.050034665,-0.0046043517,-0.0074594636,-0.00062704226,-0.06311805,0.0533681,-0.14882705,-0.12229318,-0.04807077,-0.054165833,-0.0127153825,0.0059972727,0.043894287,0.06325392,0.07060974,-0.086968325,0.14128968,0.022859722,0.11658073,0.07394594,-0.16267937,-0.013345642,-0.14409932,-0.077648,0.014078285,-0.034669213,0.093672894,0.039711222,0.15221561,-0.11599384,-0.08737219,0.0827154,0.18239771,0.027739007,0.04929407,-0.0776269,-0.03771993,0.2453224,0.03329495,-0.08607352,-0.11829615,-0.20009999,-0.086330496,0.06752531,0.018846523,0.00079037953,-0.0031537116,-0.039512623,0.033660434,-0.015876992,0.03798666,-0.046482082,0.039591797,0.045342248,-0.0090827495,-0.0088599,0.03732971,0.03719675,-0.023002176,0.032708548,0.045998976,0.032687906,-0.040232487,0.062632285,0.0032006418,-0.010611117,-0.018839603,0.006754425,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.036963515,-0.030018289,0.105470546,0.05241959,-0.10148121,-0.0020117315,-0.006493848,-0.010332064,-0.077796385,0.06499488,-0.16041937,-0.14071596,-0.035506904,-0.07198506,-0.016748836,-0.007511344,0.044116173,0.053931944,0.06730082,-0.08071158,0.109142736,0.02434882,0.09343106,0.07302257,-0.13582557,-0.00091418024,-0.1361952,-0.07835231,0.0034493925,-0.034125224,0.09024149,0.04783518,0.16892995,-0.12914702,-0.09415309,0.09728988,0.17098238,0.027267268,0.04080322,-0.079760745,-0.048126854,0.2707153,0.050042853,-0.07877207,-0.11800573,-0.18013678,-0.07679822,0.065038785,0.019956704,-0.013068047,-0.007823068,-0.06791216,0.054827362,-0.030421963,0.046208043,-0.060261104,0.044865265,0.05436239,0.026530543,0.035149883,-0.0025636472,0.041986328,-0.007919917,0.019308392,0.056053806,0.0065009175,-0.03090712,0.051283028,0.014880183,-0.02382808,-0.04890778,-0.005221841,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.07968477,-0.04076589,0.12240402,0.06116077,-0.07719852,0.00043961502,-0.04750376,0.0084063765,-0.07899141,0.047558993,-0.16699316,-0.12746643,-0.041630838,-0.056780808,-0.010490525,0.0042210333,0.04447418,0.05792099,0.06452194,-0.08639092,0.14259578,0.021488978,0.11104585,0.062382113,-0.14395428,-0.0068678996,-0.13158019,-0.07972372,0.01169985,-0.040028427,0.08407266,0.037998576,0.1684141,-0.1366094,-0.09314419,0.076776996,0.16781567,0.029219981,0.037994947,-0.0736276,-0.037363905,0.25601077,0.032874137,-0.08232828,-0.11698084,-0.19655709,-0.08772296,0.0727286,0.0120910555,0.0007973046,-0.011790976,-0.040699936,0.061070938,-0.024692025,0.04545211,-0.06762831,0.04309945,0.061389748,0.006875391,0.012216747,0.025416939,0.041660137,-0.021572154,0.032985017,0.06563265,0.027603954,-0.04355015,0.05627544,0.0073403413,-0.015817383,-0.037276153,0.014144802,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,0.08390754,-0.06270172,0.109780096,0.06684719,-0.04470815,-0.0045638336,-0.07248837,0.0112383785,-0.041282468,0.04768459,-0.13742921,-0.09841466,-0.046861615,-0.071892634,-0.021950776,-0.0042060674,0.034233116,0.09582213,0.0905892,-0.09187241,0.16263448,-0.0013428323,0.11771428,0.072099544,-0.15209192,0.0045600124,-0.14590691,-0.07884194,0.015301496,-0.0440224,0.09430478,0.056148633,0.18295589,-0.14614853,-0.099024,0.08533949,0.14309306,0.02329289,0.031228969,-0.053978074,-0.038581952,0.22522774,0.03375715,-0.072405994,-0.09082725,-0.17828372,-0.063519545,0.06220629,0.011745255,-0.003198055,-0.025454074,-0.07499032,0.07516642,-0.040360734,0.067871094,-0.07591231,0.053869233,0.052515283,0.011581352,0.020961495,0.021635648,0.054103136,-0.018556602,0.037725978,0.057627812,0.016534356,-0.057885733,0.045630466,0.012522323,-0.020591477,-0.05683365,0.038261887,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,0.105828166,-0.05925508,0.13407332,0.06444659,-0.07898235,0.00037916767,-0.035338573,0.004393014,-0.032716505,0.046790134,-0.09495442,-0.08524627,-0.0067870184,-0.030437406,-0.024766568,0.0049362043,0.053862184,0.02164557,0.05583678,-0.087953344,0.1492543,0.0585975,0.13553809,0.09191083,-0.18244135,-0.024924677,-0.14479041,-0.080970645,-0.019870007,-0.039299242,0.14529158,0.036224533,0.22018775,-0.14197779,-0.11345539,0.11679791,0.14924829,0.009435718,0.037992127,-0.072916985,-0.028356139,0.20872271,0.019466523,-0.069136806,-0.05929968,-0.15635224,-0.049761284,0.04415409,-0.00066242996,-0.025480846,-0.019372817,-0.08605804,0.062452085,-0.03349165,0.050258234,-0.074063666,0.05095794,0.028669221,0.0073698005,0.040012296,-0.023666218,0.058008924,-0.028313195,0.04614643,0.075503394,-0.03238709,-0.06726333,0.060378212,0.035379823,-0.031093188,-0.10513999,0.048971377,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,0.059671257,-0.002081469,0.11827558,0.052776996,-0.07960832,-0.00018704089,0.025930524,-0.0037297693,-0.11152117,0.04725027,-0.16181219,-0.1296682,-0.052871037,-0.0495096,0.00084262446,-0.00249854,0.05167858,0.04222905,0.067544445,-0.078676,0.10443689,0.04226376,0.095403135,0.07480964,-0.1410431,-0.004844082,-0.124724664,-0.078412846,0.0005806804,-0.04282622,0.083758235,0.04460498,0.17094435,-0.114771836,-0.08858462,0.09674841,0.18104106,0.017879799,0.045364827,-0.08335293,-0.05060954,0.2578348,0.03790776,-0.078820854,-0.13694313,-0.18261209,-0.09695672,0.062240835,0.013953901,-0.009250999,0.0010391023,-0.04045244,0.04665009,-0.032259915,0.034541413,-0.039950334,0.039961424,0.05435193,0.010555507,0.028016634,0.0252327,0.043758925,-0.01358847,0.011068746,0.059206203,0.027639994,-0.03202097,0.06970435,0.0009658515,-0.018641476,-0.026783343,-0.007826877,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,0.095755264,-0.030944765,0.10768502,0.036274996,-0.06047931,0.0053436765,-0.031284463,0.002288369,-0.06999052,0.048801936,-0.14997992,-0.12183037,-0.0490782,-0.04131746,-0.017483994,0.011968323,0.0427823,0.021135066,0.055132546,-0.07365239,0.1225298,0.035899594,0.10023136,0.06888168,-0.1557246,-0.00817373,-0.13803396,-0.081092246,0.0083204815,-0.03581826,0.062498275,0.040485535,0.16091077,-0.13795969,-0.08908807,0.07374374,0.19026808,0.033843525,0.054683145,-0.09067082,-0.05351981,0.28860956,0.052270636,-0.086327046,-0.155085,-0.20324333,-0.09399329,0.07349691,0.028900275,0.012200461,0.010555429,-0.023400942,0.04158503,-0.02132463,0.029870681,-0.025503138,0.045835193,0.046516392,-0.0073306146,-0.0046235113,0.029667642,0.035976697,-0.012760428,0.010743019,0.054966133,0.0513306,-0.03890893,0.07144101,-0.0007359617,-0.004672119,-0.009124071,-0.009027328,1.0
