,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,-0.32679102,0.68301,-0.23448823,0.084454335,-1.0057176,-0.08902458,-0.968412,1.232914,1.0990907,-1.0004958,0.7167042,0.5391805,-0.6535884,0.7775393,0.57362896,-0.3436815,-0.3146524,0.3165051,-0.36533064,-0.28977218,-1.5838592,0.27515692,-0.49206343,0.5669913,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,-0.11472147,-0.12411465,1.4670417,0.6522801,-1.5555973,0.33798036,-1.0324304,0.640612,1.0381699,0.6204655,-0.142263,0.7503261,-0.8062369,0.8257862,-0.13276163,0.17888033,0.44573107,0.20694686,-0.29673144,-0.055213597,-0.8744378,-0.42594162,-0.33976477,-0.5692195,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,0.6163067,0.08725657,0.4566808,0.15684775,-0.42519632,-1.0354527,0.27018422,0.9477103,-0.9684299,-0.6322526,-0.12354104,0.3732162,-1.2450044,1.309827,-1.1115872,-0.7286534,0.76595795,0.5546772,0.26323134,0.19956413,0.07006841,0.002963482,0.28055176,-0.24661747,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,-0.69255906,0.0069946065,0.6301348,0.33572656,-1.386928,0.43113065,-0.22004837,1.5874239,0.31926268,-0.348368,0.0037191135,0.47786167,-0.6793192,0.58890826,0.06985312,-0.07069785,0.90557545,-0.030514007,-1.2717667,0.015444697,-0.83053476,-0.065503746,-0.3066209,0.24637556,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,-0.5295712,0.46412992,-0.11175233,-0.5242,-0.93659085,1.1471448,-1.5198668,1.1997216,0.8920279,-0.22398387,0.1493017,0.3202327,-0.3454681,0.6982266,0.3402255,-0.1270809,0.58047193,-0.9035397,-0.3503918,-0.21742845,0.041738473,0.36859155,-0.16802408,0.107153915,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,-0.6845899,-0.32803878,0.32552767,-0.13348068,-0.5564628,0.538007,-1.771814,0.3164557,1.1323867,-0.22344239,-0.8255838,-0.17355752,0.18359925,0.48048535,0.19341645,-1.3717322,0.25242916,0.59449166,0.691663,1.1728512,-1.1825528,-0.19351737,-0.9335999,-0.23851676,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,-0.5461711,0.47483265,1.0248619,-0.42098567,-2.1361737,0.8103987,-1.4372838,0.54163885,0.09413216,0.2659922,-0.54076886,0.31285858,-0.46129474,0.6943168,-0.27513108,-0.27496544,0.68264943,-0.04980105,0.7183446,0.17916557,-0.027003571,-0.44660017,0.700819,-0.2549909,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,-1.1123749,0.4347925,0.1836319,-0.08435859,-1.2567296,1.1811597,-1.127217,0.20534997,0.4717208,0.20543882,-0.5992396,-0.1155096,0.13344039,0.4065277,-0.067366,-1.2192115,0.2204765,0.18989496,0.64506257,0.29862988,-0.13105497,-0.6068777,-1.685169,0.41080162,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,-0.78169614,0.5883447,-0.15664583,0.51859206,-1.41705,-0.049434442,-1.0168577,0.49534836,0.23660362,-0.24489589,-1.3819102,-0.2541298,-1.0814776,1.2109178,0.4397476,-1.3301657,0.95044786,-0.7065189,-0.16477254,-0.48611206,-0.23344357,0.28636566,-0.4592995,-0.43453005,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,-0.74523336,0.39515442,0.20599529,0.36444378,-0.8071407,0.2784454,-1.4884014,0.39384693,0.3337014,0.15728307,0.27453944,0.4713603,-1.3147136,0.35205123,0.7231078,-0.600926,-0.41768232,0.4613792,0.0809009,-0.22613099,-1.7048296,1.0609541,-0.6131188,0.09837155,1.0
