,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,-0.100880705,-0.2938524,-0.36955723,0.6298448,-0.9636369,0.1873476,-0.26265985,0.2605016,-0.3580496,-0.29625633,-0.039578613,0.30952045,0.11801157,1.2217791,0.17754355,0.08418873,-0.09959414,-0.6360981,-0.093172505,-0.7436312,-0.26660538,0.44819054,-0.19699419,-0.030908821,0.023694407,-0.3834394,0.547645,-0.39715973,-0.2284771,-0.5332006,-0.120470196,0.35082623,-0.7574497,-0.31225315,0.38314986,-0.2580645,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.16213983,-0.6285592,-0.75912035,-0.14480022,0.46601886,-0.38454884,0.47269318,-0.07402248,-0.3202495,-0.29188618,-0.4321996,0.11769602,0.24182846,0.2972902,-0.070272446,0.1388219,0.20434996,-0.28966638,0.17435972,-0.24807923,-0.28425404,0.5842328,-0.2162405,-0.2034663,-0.051734474,-0.05534395,0.11853496,0.15416509,-0.28564268,0.017835425,-0.5884077,0.12512095,0.057458736,0.038304668,0.3186658,0.2884065,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,-0.21716438,0.3924578,-0.18283927,0.1483655,-0.5556898,0.69032925,-0.012723837,0.5458209,-0.19706517,-1.0242033,0.12621991,0.22616923,0.74108845,-0.55025727,0.17748338,-0.04537293,0.1367138,-0.43726772,0.6826259,-0.43886647,-0.6252559,0.153107,0.2544201,0.2446536,-0.023753136,0.24437945,0.09517401,0.13515806,0.17277819,0.6415982,0.057843916,0.20718725,0.260719,0.24318664,-0.039614663,-0.007011098,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,-0.68327755,0.056536164,-0.12877917,0.38870028,-0.5007188,0.058103785,0.21109003,0.22076726,-0.14419101,-0.33799407,-0.12420054,-0.463527,-0.18907325,0.80382323,0.4052879,-0.101196155,0.45042697,-0.20837222,0.10795489,-0.9377525,0.07267202,-0.068506755,-0.28809986,-0.3105097,0.41323993,-0.28789625,0.19466563,0.31715414,-0.44356966,-0.51750374,-0.19648135,0.0020349442,-0.15597862,0.059699055,0.51910174,0.24299331,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,-0.86696464,0.12934639,0.22491968,0.13858427,0.010793737,0.020650987,0.23611636,-0.16027793,-0.3668436,0.2693536,-0.27630672,-0.04790505,-0.11622924,1.0336022,0.115312494,-0.092894465,-0.05898911,-0.1366167,0.2740461,-0.526802,0.10034482,0.43610644,-0.26156402,-0.57468754,0.273013,-0.50479907,0.39622653,-0.464459,-1.0752667,-0.2534284,0.037254084,0.37262797,-0.32526177,-0.23502696,-0.057689838,0.7014446,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.32955068,-0.6051103,0.16643347,-0.44454104,-0.38337004,0.177387,0.6371061,-0.27685025,-0.49083903,-0.5504978,-0.0032962724,0.59598684,0.023008242,0.26432306,-0.30012652,0.5853286,0.38094473,-0.2964605,-0.17136903,-0.48560667,-0.43081272,0.31801915,-0.64233303,-0.2964998,-0.15142365,0.24753496,0.41864473,0.021694407,-0.20810348,0.08691626,-0.072443634,0.33751452,-0.39491826,-0.015693037,0.70253825,0.19750562,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,-0.44787997,0.6131849,-0.90963,-0.45486414,-0.24103595,-0.0012492946,0.06637346,0.38424417,0.0530187,-0.49567798,-0.46191078,0.74751097,-0.30820912,0.3848809,0.20481543,0.29961398,-0.39225385,-0.07893591,0.095676266,-0.41219962,-0.69335926,0.5608431,-0.25849283,-0.56143034,0.68739647,-0.48947337,0.79749155,-0.66271204,-0.29280263,0.47930634,0.14235272,0.044948984,0.47625297,0.03764732,-0.029883767,-0.029279528,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,-0.12729046,-0.8724986,-0.07969994,-0.48926535,-0.33975652,0.18272442,0.45030403,-0.22439037,0.26727393,-0.7861364,-0.5343555,0.48037532,0.33782956,0.18056561,0.44606665,-0.10346823,-0.3709152,-0.11947591,-0.28558344,-0.28583607,0.1464694,0.48520887,-0.6737052,-0.02626074,-0.025233643,-0.22477919,0.38450977,0.4137671,-0.050217893,0.61464745,0.13012308,0.8358805,0.21214654,0.13655761,0.44738245,-0.373851,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,-0.34384707,-0.06363437,-0.046192724,0.016190974,-0.24994734,0.5425255,0.5136587,-0.385868,-0.04512826,0.20525512,-0.7298598,-0.13413262,-0.4417954,0.7704909,0.062332366,-0.17279126,0.48597676,-0.12794083,-0.051228944,-0.79306865,-0.10605767,0.59950906,0.057071224,0.52190673,0.10042967,-0.5047577,0.47332197,0.28868794,-0.048588425,-0.24395347,-0.32035866,0.07014252,-0.5999266,-0.031109562,0.9810699,0.29974002,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,0.19654839,0.22489198,0.10548262,-0.097319186,-0.08552187,0.31050986,0.050188035,0.3102093,-0.77780044,-0.14418004,-0.28954065,0.12208039,-0.9069777,0.55259025,-0.37279198,-0.13013478,-0.04951,0.20358953,0.39890602,-0.51120055,-0.2248278,0.38320854,-0.49350065,-0.294234,-0.22285,0.31620172,-0.36113906,0.20727938,-0.48162416,0.16001473,0.49279034,-0.19247656,0.53878784,-0.048174318,1.0422356,0.3908501,1.0
